Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer,Explane
Which AWS service is primarily used for software version control?,1. AWS CodeCommit,2. AWS CodeStar,3. AWS Cloud9,4. AWS CodeDeploy,,1. AWS CodeCommit,"Aws codecommit is a fully-managed source control service that hosts secure git-based repositories. It makes it easy for teams to collaborate on code in a secure and highly scalable ecosystem
AWS CodeStar enables you to quickly develop, build, and deploy applications on AWS. AWS CodeStar provides a unified user interface, enabling you to easily manage your software development activities in one place
AWS Cloud9 is a cloud-based integrated development environment (IDE) that lets you write, run, and debug your code with just a browser
AWS CodeDeploy is a deployment service that automates application deployments to Amazon EC2 instances, on-premises instances, or serverless Lambda functions"
Which AWS service can you use to install a third-party database?,1. Amazon RDS,2. Amazon DynamoDB,3. Amazon EC2,4. Amazon EMR,,3. Amazon EC2,All of these services are managed services except for amazon ec2. ec2 is the only service in the list upon which you can manually install the database software of your choice
Identify the services that have a global (rather than regional) scope? (choose 2),1. Amazon Route 53,2. Amazon S3,3. Amazon CloudFront,4. AWS Lambda,5. Amazon EC2,"1. Amazon Route 53, 3. Amazon CloudFront","Amazon route 53 and amazon cloudfront have a global scope
Amazon S3 uses a global namespace but buckets and objects are created within a region AWS Lambda is a regional service"
Which service can you use to provision a preconfigured server with little to no AWS experience?,1. Amazon Elastic Beanstalk,2. AWS Lambda,3. Amazon EC2,4. Amazon Lightsail,,4. Amazon Lightsail,"Lightsail provides developers compute, storage, and networking capacity and capabilities to deploy and manage websites, web applications, and databases in the cloud
Lightsail provides preconfigured virtual private servers (instances) that include everything required to deploy and application or create a database
Deploying a server on Lightsail is extremely easy and does not require knowledge of how to configure VPCs, security groups, network ACLs etc. AWS Elastic Beanstalk can be used to quickly deploy and manage applications in the AWS Cloud. It is considered a PaaS service. However, you do still need to deploy within a VPC so more AWS expertise is required
Amazon EC2 also requires AWS expertise as it deploys within a VPC
AWS Lambda provides serverless functions not preconfigured servers"
Which AWS service allows you to connect to storage from on-premise servers using standard file protocols?,1. Amazon S3,2. Amazon EBS,3. Amazon Glacier,4. Amazon EFS,,4. Amazon EFS,"Efs is a fully-managed service that makes it easy to set up and scale file storage in the Amazon Cloud
EFS filesystems are mounted using the NFS protocol (which is a file-level protocol)
Access to EFS file systems from on-premises servers can be enabled via Direct Connect or 
AWS VPN
You mount an EFS file system on your on-premises Linux server using the standard Linux mount command for mounting a file system via the NFSv4.1 protocol Amazon S3 is an object-level not file-level storage system
Amazon Glacier is an archiving solution that is accessed through S3
Amazon Elastic Block Storage (EBS) is block-level storage that can only be accessed by EC2 instances from the same AZ as the EBS volume"
Which pricing model should you use for EC2 instances that will be used in a lab environment for several hours on a weekend and must run uninterrupted?,1. On-Demand,2. Reserved,3. Spot,4. Dedicated Instance,,1. On-Demand,"Spot instances are good for short term requirements as they can be very economical. However, you may find that the instance is terminated if the spot market price moves
On-Demand is the best choice for this situation as it is the most economical option that will ensure no interruptions
Reserved instances are good for long-term, static requirements as you must lock-in for 1 or 3 years in return for a decent discount
Dedicated instances are EC2 instances that run on hardware dedicated to a single customer"
What is an availability zone composed of?,1. One or more regions,2. One or more DCs in a location,3. A collection of edge locations,4. A collection of VPCs,,2. One or more DCs in a location,"Availability zones are physically separate and isolated from each other
AZ’s have direct, low-latency, high throughput and redundant network connections between each other
A region is a geographical area
Each region consists of 2 or more availability zones"
Which AWS services are used for analytics? (choose 2),1. Amazon RDS,2. Amazon ElastiCache,3. Amazon Athena,4. Amazon S3,5. Amazon EMR,"3. Amazon Athena, 5. Amazon EMR","Amazon elastic map reduce (emr) provides a managed hadoop framework that makes it easy, fast, and cost-effective to process vast amounts of data across dynamically scalable Amazon EC2 instance
Amazon Athena is an interactive query service that makes it easy to analyze data in Amazon S3 using standard SQL
ElastiCache is a data caching service that is used to help improve the speed/performance of web applications running on AWS Amazon RDS is Amazon's relational database and is primarily used for transactional workloads 
Amazon S3 is used for object storage"
What advantages does deploying Amazon CloudFront provide? (choose 2),1. A private network link to the AWS cloud,2. Reduced latency,3. Automated deployment of resources,4. Improved performance for end users,5. Provides serverless compute services,"2. Reduced latency, 4. Improved performance for end users","Cloudfront is a content delivery network (cdn) that allows you to store (cache) your content at “edge locations” located around the world
This allows customers to access content more quickly and provides security against DDoS attacks
CloudFront can be used for data, videos, applications, and APIs
A private network link to the AWS cloud can be provisioned using AWS Direct Connect or an IPSec VPN
Automated deployment of resources is performed using CloudFormation CloudFront is a CDN not a serverless compute service"
What considerations are there when choosing which region to use? (choose 2),1. Data sovereignty,2. Available storage capacity,3. Latency,4. Pricing in local currency,5. Available compute capacity,"1. Data sovereignty, 3. Latency","You may choose a region to reduce latency, minimize costs, or address regulatory requirements
Available capacity is generally not a concern as AWS has a large pool of resources and does not disclose the available capacity in each region Pricing for AWS services is in USD"
Which service can be used to track the CPU usage of an EC2 instance?,1. Amazon CloudTrail,2. Amazon CloudFront,3. Amazon CloudFormation,4. Amazon CloudWatch,,4. Amazon CloudWatch,"Amazon cloudwatch is a monitoring service for aws cloud resources and the applications you run on AWS CloudWatch is for performance monitoring, whereas CloudTrail is for auditing
AWS CloudTrail is a web service that records activity made on your account and delivers log files to an Amazon S3 bucket
CloudFormation is used for automated provisioning of infrastructure
CloudFront is a content delivery network (CDN) that caches content"
Which feature of AWS allows you to deploy a new application for which the requirements may change over time?,1. Elasticity,2. Fault tolerance,3. Disposable resources,4. High availability,,1. Elasticity,"Elasticity allows you to deploy your application without worrying about whether it will need more or less resources in the future. With elasticity, the infrastructure can scale on-demand Fault tolerance and high availability are mechanisms used for ensuring the availability of your application and protecting against the failure of hardware or software components
Disposable resources is an architectural principle in which servers and other components are treated as temporary resources and are replaced rather than updated"
Which items can be configured from within the VPC management console? (choose 2),1. Subnets,2. Regions,3. Load Balancing,4. Auto Scaling,5. Security Groups,"1. Subnets, 5. Security Groups","Subnets and security groups can be configured from within the vpc console Regions are not configured, resources within regions are configured 
Load balancing and auto scaling is configured from the EC2 console"
Which services are integrated with KMS encryption? (choose 2),1. Amazon RDS,2. Amazon EC2,3. Amazon EBS,4. Amazon SWF,5. AWS CloudFormation,"1. Amazon RDS, 3. Amazon EBS",Not all services integrate with kms. review the reference below
Which service allows you to automatically expand and shrink your application in response to demand?,1. AWS ElastiCache,2. Amazon Elastic Load Balancing,3. AWS Auto Scaling,4. Amazon DynamoDB,,3. AWS Auto Scaling,"Auto scaling automatically responds to demand by adding or removing ec2 instances to ensure the right amount of compute capacity is available at any time
Amazon ELB distributes incoming requests to EC2 instances. It can be used in conjunction with Auto Scaling 
AWS Elasticache provides in-memory cache and database services Amazon DynamoDB is a NoSQL database"
